id,scenario,persona,additional_context,question,option_a,option_b,option_c,option_d,correct_answer,reasoning,menu_items_referenced,created_at,rating,feedback_notes
Q_163624_182,Special Occasion Menu Suggestions,No-Garlic Guest,A guest asks for small portions to try several things.,"A guest with a garlic allergy requests small portions of several items from the special occasion menu to sample various flavors. Which combination BEST accommodates their needs and preferences, considering their allergy and desire for variety?",A small portion of Mary's Organic Chicken and a small order of Chicharron Chicken & Waffle (without the sauce if it contains garlic).,A full portion of Mary's Organic Chicken.,Two full portions of Chicharron Chicken & Waffle.,A small portion of Mary's Organic Chicken and a large portion of Chicharron Chicken & Waffle.,A,"Option A is best because it offers variety in small portions, catering to the guest's request.  Mary's Organic Chicken is garlic-free, and we can modify the Chicharron Chicken & Waffle to exclude any potential garlic-containing sauces. Options B, C, and D don't consider the guest's allergy or their desire for small portions.","Mary's Organic Chicken, Chicharron Chicken & Waffle",16:36:24,5,
Q_163855_916,Ingredient Flavor Profiles,Seafood Aficionado,A returning customer asks if there are any new menu items since their last visit.,"A returning seafood aficionado asks about new menu items.  Considering their preferences and potential allergies (they have previously ordered dishes), which recommendation best highlights new flavors while mitigating potential allergen concerns?","The Fish Set, emphasizing the lemon-charred aspect and highlighting the absence of soy and dairy in its preparation.","The Fish Set, focusing on the black garlic puree and nori celery root puree, ignoring potential allergies.","The Spring Vegetables, emphasizing the miso celeriac puree as a unique flavor.",Suggest both the Fish Set and Spring Vegetables without addressing potential allergy concerns.,A,"The question tests the waitstaff's ability to cater to a returning customer's desire for novelty while considering potential allergies. Option A directly addresses the seafood aficionado's preference, highlights a new dish, and avoids mentioning potential allergens (soy, dairy, onion, garlic) present in other ingredients of the Fish Set. Options B and D fail to consider allergies, while Option C is less aligned with the customer's seafood preference.","Fish Set, Spring Vegetables",16:38:55,4,Keep the reasoning brief and to the point
Q_164023_718,Regional Cuisine Trivia,Mushroom Allergy Guest,A guest is writing a review and asks the staff to share fun facts about the menu.,"A guest with a mushroom allergy is writing a restaurant review and asks for fun facts about the menu.  Which response from the waitstaff is MOST appropriate, considering the guest's allergy and the menu?","“Our Wild Mushroom Wellington features four types of mushrooms – Brown Bunapi, White Bunapi, King Oyster, and Blue Oyster – all sautéed in coconut oil with shallots and braised daikon, then encased in puff pastry.  However, we also have the Bone Marrow, a side dish prepared with koji shiitaki mushrooms, that might be suitable for you.”",“Our Wild Mushroom Wellington is a vegetarian masterpiece! It's filled with delicious mushrooms and puff pastry.  Would you like to try our Bone Marrow instead?,“The Wild Mushroom Wellington is our signature dish.  It's very popular.”,“We have many delicious options;  I can help you find something else on the menu.”,A,"Option A is correct because it acknowledges the guest's allergy, provides details about the mushroom Wellington (relevant to the review request), and suggests an alternative dish (Bone Marrow) while noting the mushroom content of that alternative dish. Options B and C fail to fully address the allergy. Option D is too generic.","Wild Mushroom Wellington, Bone Marrow",16:40:23,4,The options contains unexpected texts such as '\u201cOur'
Q_164156_878,Dessert Allergy Awareness,Artistic Culinary Fan,A wine enthusiast asks for recommended pairings between teas and desserts for a high-end experience.,"An artistic culinary fan and wine enthusiast requests tea and dessert pairings, highlighting the absence of dairy, gluten, and egg.  Which pairing best caters to their preferences and avoids allergens, considering their appreciation for high-end experiences?","Chill (Yuzu Dragon Fruit, Coconut Pandan, Peach Champagne, Coconut Cream, Toasted Coconut, Marigold Flowers) paired with a delicate white tea.","Halo (Vanilla Tuile, Mango Curd, Pastry Cream, Passion Fruit Carmel, Mango Twirls, Coconut Twirls, Quenelle Coconut Ice Cream) paired with a robust black tea.",Skyfall (ingredients unspecified) paired with a herbal infusion.,"Chill paired with a robust black tea, and Halo paired with a delicate white tea.",A,"The question tests knowledge of both menu items and allergen awareness. Option A is correct because Chill is the only dessert listed that doesn't contain any of the specified allergens (gluten, dairy, egg).  Pairing it with a delicate white tea aligns with a high-end experience. Options B and D contain allergens; option C lacks sufficient information.","Chill, Halo",16:41:56,5,good
Q_164255_492,Mocktail Recommendations,Chocolate Aficionado,A guest is in town for a festival and asks for event-themed menu items.,"A chocolate-loving guest is in town for a festival and wants an event-themed mocktail.  Considering their preference and the dessert menu, which mocktail pairing would best complement their palate and the festive occasion?","Suggest a mocktail incorporating the Yuzu Dragon Fruit from the 'Chill' dessert, highlighting its unique flavor profile to create a refreshing and unexpected pairing.","Recommend a mocktail using the Mango Curd from the 'Halo' dessert, emphasizing its familiar sweetness to please the chocolate lover.","Suggest a mocktail based on the Passion Fruit Caramel from the 'Halo' dessert, focusing on its tangy notes to contrast with the chocolate.","Recommend a mocktail featuring the Coconut Pandan from the 'Chill' dessert, relying on its creamy texture to complement the richness of chocolate.",A,"The question tests the waitstaff's ability to connect a guest's preference (chocolate) with unexpected flavor pairings from the dessert menu and the festive context. Option A is best because Yuzu Dragon Fruit offers a unique, less predictable pairing that would be more memorable and exciting for a festival atmosphere than the more familiar Mango or Coconut flavors.","Chill, Halo",16:42:55,5,good
Q_164335_745,Dessert Ingredient Awareness,Sweet Tooth Guest,A guest wants to buy packaged teas or coffee beans to take home.,"A guest with a serious sweet tooth wants to purchase packaged tea to take home.  Considering their preference and the available options, which tea is the LEAST likely to satisfy them?",Pacific Coast Mint Tea,Matcha Tea,Caramelized Pear Tea,"None of the above, all teas would satisfy a sweet tooth",A,"The question assesses the waitstaff's ability to understand flavor profiles and match them to guest preferences. The Pacific Coast Mint Tea is described as 'Refreshing, Sharp, Smooth,' lacking the sweetness desired by the guest.  Matcha and Caramelized Pear Tea both offer flavors that align better with a sweet tooth. The guest's desire for packaged tea to take home is a detail to ensure the question is strictly relevant to the scenario.","Pacific Coast Mint Tea, Matcha Tea, Caramelized Pear Tea",16:43:35,3,question repeated
Q_164406_262,Ingredient Origin Storytelling,Mushroom Allergy Guest,A first-time customer is curious about the origins and stories behind each menu item.,"A first-time customer with a mushroom allergy is fascinated by the origin stories of your dishes and asks about the Wild Mushroom Wellington.  How should you best respond, considering their allergy and interest?","Explain the sourcing of the various mushrooms (Brown Bunapi, White Bunapi, King Oyster, Blue Oyster) and highlight the unique flavors they contribute, while clearly stating the dish is unsuitable due to their allergy and suggest the Bone Marrow with koji shiitaki as an alternative.","Focus solely on the puff pastry and egg yolk components, avoiding mention of the mushrooms to prevent upsetting the guest.","Offer a detailed explanation of the mushroom dashi and truffle powder, emphasizing their luxurious nature, and suggest a different vegetarian option without mentioning the allergy.",Apologize that you cannot accommodate their dietary needs and abruptly move on to other menu items.,A,"Option A directly addresses the guest's interest in origin stories while acknowledging and respecting their allergy.  It provides an alternative (Bone Marrow) and avoids triggering their allergy. Options B, C, and D are inadequate because they either ignore the allergy or fail to satisfy the guest's curiosity about the dish's origins.","Wild Mushroom Wellington, Bone Marrow",16:44:06,4,
Q_164445_701,Regional Cuisine Trivia,Dairy-Heavy Preference Guest,A couple on a first date seeks recommendations for shareable appetizers.,"A couple on their first date, with a strong dairy preference, wants shareable appetizers before ordering entrees. Considering their dairy preference and the potential for allergen cross-contamination, which appetizer strategy is BEST?","Suggest focusing on the Mary's Organic Chicken entree, emphasizing the unsalted butter and creamy jus, as a shareable dish, while carefully explaining potential egg cross-contamination risks.","Recommend the Chicharron Chicken & Waffle, highlighting the potential dairy in the karaage style preparation, disregarding the couple's date context.","Immediately recommend a side dish from the Mary's Organic Chicken entree, such as the Burdock Puree or Artichokes cooked in Barigoule, ignoring the shareable appetizer request.","Suggest sharing the Chicharron Chicken & Waffle and the Mary's Organic Chicken, despite the potential for multiple allergen cross-contaminations and ignoring the shareable appetizer request.",A,"The question tests the ability to prioritize guest preferences (dairy) within constraints (shareable appetizers, first date context, and allergen awareness). Option A directly addresses the dairy preference by focusing on the butter and jus in the entree, acknowledging the shareable nature and potential egg cross-contamination. Options B, C, and D either ignore crucial aspects of the scenario (shareable, first date, dairy focus) or introduce unnecessary risks (allergens).","Mary's Organic Chicken, Chicharron Chicken & Waffle",16:44:45,4,Keep reasoning brief
Q_164647_934,Dessert Pairing,Shellfish Allergy Guest,A guest wants a recommendation for a “hidden gem” on the menu.,"A guest with a shellfish allergy seeks a 'hidden gem' dessert pairing for the Wild Mushroom Wellington.  Which option is the BEST recommendation, considering their allergy and the Wellington's ingredients?",No dessert pairing is recommended; the Wellington's ingredients present too many allergy risks.,"Recommend the Bone Marrow as a savory complement, emphasizing the koji shiit's unique flavor profile.","Suggest a fruit plate, clarifying it's free of common allergens, but mention it lacks a direct flavor connection to the Wellington.","Recommend a dairy-free sorbet, highlighting its refreshing contrast to the rich Wellington, while acknowledging potential cross-contamination risks.",A,"The question tests knowledge of allergen cross-contamination and menu limitations. The Wellington contains multiple allergens (gluten, egg, dairy, onion), making any pairing risky.  Option A is safest for the guest's shellfish allergy and avoids potential cross-contamination.","Wild Mushroom Wellington, Bone Marrow",16:46:47,5,Best
Q_164723_626,Seasonal Menu Items,Sweet & Savory Fan,A guest asks for a low-caffeine beverage that still feels indulgent.,"A guest who enjoys both sweet and savory flavors and prefers a low-caffeine beverage with an indulgent feel orders dessert.  Which dessert and beverage pairing best suits their preferences, considering their dietary restrictions are not specified?",Halo with a decaf herbal tea,Chill with decaf coffee,Skyfall with a glass of sparkling cider,Chill with a low-caffeine green tea,A,"The question focuses on a guest's preference for sweet and savory, and a low-caffeine indulgent beverage. The Halo dessert offers a complex flavor profile (mango, passion fruit, coconut) balancing sweet and tart notes.  A decaf herbal tea provides a sophisticated, non-caffeinated alternative to coffee, aligning with the 'indulgent feel' request. Other options either lack a clear sweet and savory balance or don't offer the low-caffeine aspect.","Halo, Chill",16:47:23,4,Keep reasoning brief
Q_164938_495,Dessert Pairing,Experimental Foodie,A guest is gluten-intolerant but wants to try a signature pastry—asks for alternatives.,"An experimental foodie with a gluten intolerance wants to enjoy a signature dessert.  Which alternative best satisfies their desire for a unique flavor profile similar to the Halo, while avoiding gluten?","Suggest the Chill, highlighting the unusual Yuzu Dragon Fruit and Coconut Pandan combination as a refreshing and equally adventurous alternative.","Recommend the Halo with a substitution of the vanilla tuile for a gluten-free alternative, if available.","Offer the Skyfall, explaining its unique flavor profile (information needed).",Inform them that no suitable gluten-free alternatives are available.,A,"The question tests knowledge of menu items and allergen information.  The Halo contains gluten; the Chill is gluten-free and offers a similarly experimental and unique flavor profile to appeal to the experimental foodie. Option B relies on availability of a gluten free alternative, not guaranteed. Option C lacks information about Skyfall.  Option D is incorrect as a suitable alternative exists.","Chill, Halo",16:49:38,4,good
Q_165011_241,Chef’s Special Knowledge,Shellfish Allergy Guest,A guest asks for the chef’s personal favorite menu item and why.,"A guest with a shellfish allergy asks for the chef's favorite menu item and the reason behind it.  Considering the chef's likely preferences and the guest's allergy, which response is MOST appropriate?",The chef's favorite is Mary's Organic Chicken because of the delicate balance of flavors and the high-quality ingredients.  It avoids common allergens.,"The chef loves the Chicharron Chicken & Waffle for its unique combination of textures and bold flavors, and highly recommends it.","The chef's personal favorite is the Mary's Organic Chicken, but it contains egg, so we would suggest an alternative.","I'm not sure what the chef's favorite is, but I can check with the kitchen.",C,The question tests knowledge of allergens and menu items. Option C is best because it acknowledges the guest's allergy and the chef's preference while offering a solution. Option A ignores the allergy. Option B doesn't consider the chef's potential preference for a dish without common allergens. Option D is insufficiently helpful.,"Mary's Organic Chicken, Chicharron Chicken & Waffle",16:50:11,4,repeated question
Q_165102_354,Diet-Appropriate Cocktails,Low-Sodium Guest,A guest is interested in non-alcoholic drink pairings for their meal.,"A low-sodium guest requests non-alcoholic drink pairings for the Iberico De Bellota Loin and Jackfruit ""Krab"" Cakes.  Considering their dietary restrictions and the menu's ingredients, which pairing is MOST appropriate?",Unsweetened iced tea with the Iberico Loin; Sparkling water with the Jackfruit Cakes.,Cranberry juice with both dishes.,Soy sauce-based marinade with the Iberico Loin;  Tomato juice with the Jackfruit Cakes.,Sweet tea with the Iberico Loin;  Orange juice with the Jackfruit Cakes.,A,"The question assesses knowledge of sodium content and allergen awareness. Option A avoids soy (allergen) and high-sodium ingredients (soy sauce, many juices).  Iced tea and sparkling water are naturally low in sodium.","Iberico De Bellota Loin, Jackfruit ""Krab"" Cakes",16:51:02,5,best
Q_165140_236,Seasonal Menu Items,No-Garlic Guest,A guest is interested in non-alcoholic drink pairings for their meal.,"A guest with a garlic allergy requests non-alcoholic drink pairings for a seasonal meal, avoiding any allium.  Which entrée and appetizer combination, along with a plausible non-alcoholic pairing suggestion, would be most suitable?","Shimane Prefecture A5 Wagyu Beef with a fruit juice (e.g., apple or cranberry juice).",Cap of Ribeye with a sparkling cider.,Umami Wagyu Beef Tartare with a ginger ale.,Shimane Prefecture A5 Wagyu Beef with Umami Wagyu Beef Tartare and a creamy soda.,A,"The question tests knowledge of allergens and menu items. Option A avoids garlic (found in the tartare) and soy (a possible allergen in some sauces).  The Shimane Wagyu is garlic-free, making it a safe choice.  A fruit juice is a safe and common non-alcoholic pairing for beef. ","Shimane Prefecture A5 Wagyu Beef, Umami Wagyu Beef Tartare, Cap of Ribeye",16:51:40,5,best
Q_165216_664,Late-Night Menu Knowledge,Sweet Tooth Guest,A guest is in town for a festival and asks for event-themed menu items.,"A guest with a sweet tooth is in town for a festival and wants a late-night meal with a sweet and savory element.  Which menu option would BEST satisfy their request, considering their preference and the limited late-night availability?","Mary's Organic Chicken, focusing on the Pickled Lingonberries for a sweet counterpoint to the savory chicken.",Chicharron Chicken & Waffle (if available late night).,Neither option would satisfy the guest's request.,"Mary's Organic Chicken, emphasizing the Burdock Puree for its unique sweetness.",A,"The question assesses knowledge of menu items and their suitability for a specific guest preference.  Option A is best because the Pickled Lingonberries offer a clear sweet element to contrast the savory chicken, aligning with the guest's sweet tooth and the late-night constraint. Option B is brunch, not late night. Option D is incorrect as Burdock Puree is not typically sweet.","Mary's Organic Chicken, Chicharron Chicken & Waffle",16:52:16,2,repeated question
Q_165247_456,Seasonal Menu Items,Shellfish Allergy Guest,A local food blogger is visiting to review the latest menu additions and seeks visually appealing plates.,"A local food blogger with a shellfish allergy is reviewing your new seasonal menu.  They want visually appealing dishes, but are allergic to shellfish. Which salad option is the safest and most visually interesting choice for them, considering the ingredients?","Beet Salad, omitting the pistachio praline.",Pacific Caesar Salad.,"Both salads, with modifications to remove all allergens.",Neither salad; suggest an alternative dish.,A,"The Pacific Caesar Salad contains smoked salmon (shellfish), making it unsafe.  The Beet Salad is a visually appealing option, and the pistachio praline can be omitted to accommodate the nut allergy.  Option C is impractical, and D doesn't address the blogger's desire for a salad.","Beet Salad, Pacific Caesar Salad",16:52:47,3,repeated question
Q_165345_419,Gluten-Free Verification,Trend-Driven Foodie,A guest is writing a review and asks the staff to share fun facts about the menu.,"A trend-driven foodie, writing a review, asks about gluten-free options and fun facts.  Which response best addresses both concerns, considering the menu and potential allergen concerns?",“Both the Crispy Tofu and Azuki Edamame Burger are naturally gluten-free.  Fun fact: our Gochujang Crema is made with fermented gochujang peppers for a unique flavor!”,“We have many gluten-free options. The Crispy Tofu is delicious! The Azuki Edamame Burger bun might contain gluten.”,“Everything is gluten-free except the burger buns.  The Crispy Tofu is our most popular dish.”,“We can modify most dishes to be gluten-free. Ask your server for details.”,A,"Option A directly addresses the guest's request for gluten-free information and fun facts, accurately stating that both mentioned items are naturally gluten-free and providing an interesting detail about the sauce. Options B, C, and D are inaccurate or incomplete regarding gluten-free options and lack the requested fun fact.","Crispy Tofu, Azuki Edamame Burger",16:53:45,4,unexpected text present in options such as'\u201c'
Q_165717_666,Dessert Ingredient Awareness,Craft Cocktail Enthusiast,A guest is interested in non-alcoholic drink pairings for their meal.,"A craft cocktail enthusiast requests non-alcoholic pairings for the Wild Mushroom Wellington.  Considering their interest in sophisticated flavors and the dish's ingredients, which dessert option would offer the most complementary and unexpected flavor profile, while also avoiding potential allergens?",A dessert featuring a subtle mushroom dashi reduction and a hint of truffle powder.,A rich chocolate lava cake with a raspberry coulis.,A classic crème brûlée.,A simple fruit tart with seasonal berries.,A,"The question assesses the staff's ability to connect a guest's preferences with menu items, considering both flavor profiles and potential allergens. Option A directly mirrors the sophisticated, umami-rich flavors of the Wild Mushroom Wellington (mushroom dashi, truffle powder) and avoids the Wellington's allergens (gluten, egg, dairy, onion). Options B, C, and D are less suitable due to flavor clashes or the presence of allergens.","Wild Mushroom Wellington, Bone Marrow",16:57:17,4,Choose different type of scenarios
Q_165836_621,Ingredient Substitution Suggestions,Food Allergy Parent,A couple on a first date seeks recommendations for shareable appetizers.,"A couple on their first date, with a child who has a severe dairy and shellfish allergy, wants shareable appetizers.  Which appetizer combination is the SAFEST option, considering the child's allergies and the desire for sharing?",Spring Vegetables and a modified portion of Dungeness Crab Mac & Cheese (hold crab and dairy),Two orders of Dungeness Crab Mac & Cheese (requesting separate preparation to avoid cross-contamination),Two orders of Spring Vegetables,One order of Dungeness Crab Mac & Cheese,C,"Option C is safest.  The child's allergies eliminate the Dungeness Crab Mac & Cheese entirely. Spring Vegetables are allergen-free, allowing safe sharing.  Options A and B risk cross-contamination or still include allergens. Option D is completely unsuitable.","Dungeness Crab Mac & Cheese, Spring Vegetables",16:58:36,4,average
